title,folder_name,url
Corleonesi Mafia clan,Corleonesi_Mafia_clan,https://en.wikipedia.org/w/index.php?title=Corleonesi_Mafia_clan&oldid=1341634689
Cornbread Mafia,Cornbread_Mafia,https://en.wikipedia.org/w/index.php?title=Cornbread_Mafia&oldid=1346208729
Corsican mafia,Corsican_mafia,https://en.wikipedia.org/w/index.php?title=Corsican_mafia&oldid=1337765648
Cortesi brothers,Cortesi_brothers,https://en.wikipedia.org/w/index.php?title=Cortesi_brothers&oldid=1283331185
Cossacks Motorcycle Club,Cossacks_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Cossacks_Motorcycle_Club&oldid=1307328919
Cotroni crime family,Cotroni_crime_family,https://en.wikipedia.org/w/index.php?title=Cotroni_crime_family&oldid=1340081631
County Road Cutters,County_Road_Cutters,https://en.wikipedia.org/w/index.php?title=County_Road_Cutters&oldid=1311774385
Cowboy Mafia,Cowboy_Mafia,https://en.wikipedia.org/w/index.php?title=Cowboy_Mafia&oldid=1278075813
Coyote (person),Coyote_(person),https://en.wikipedia.org/w/index.php?title=Coyote_(person)&oldid=1344244167
Crazy Dragons,Crazy_Dragons,https://en.wikipedia.org/w/index.php?title=Crazy_Dragons&oldid=1320154275
Crime in Afghanistan,Crime_in_Afghanistan,https://en.wikipedia.org/w/index.php?title=Crime_in_Afghanistan&oldid=1340118855
Crime in Belgium,Crime_in_Belgium,https://en.wikipedia.org/w/index.php?title=Crime_in_Belgium&oldid=1346020393
Crips,Crips,https://en.wikipedia.org/w/index.php?title=Crips&oldid=1332326623
Culver City Boys,Culver_City_Boys,https://en.wikipedia.org/w/index.php?title=Culver_City_Boys&oldid=1342297958
Cuntrera-Caruana Mafia clan,Cuntrera-Caruana_Mafia_clan,https://en.wikipedia.org/w/index.php?title=Cuntrera-Caruana_Mafia_clan&oldid=1339077396
Cártel del Noreste,Cártel_del_Noreste,https://en.wikipedia.org/w/index.php?title=Cártel_del_Noreste&oldid=1344228969
D-Block Boys,D-Block_Boys,https://en.wikipedia.org/w/index.php?title=D-Block_Boys&oldid=1339088036
D-Company,D-Company,https://en.wikipedia.org/w/index.php?title=D-Company&oldid=1339177264
D.C. Blacks,D.C._Blacks,https://en.wikipedia.org/w/index.php?title=D.C._Blacks&oldid=1337898892
DLASTHR,DLASTHR,https://en.wikipedia.org/w/index.php?title=DLASTHR&oldid=1346324749
Dacoity,Dacoity,https://en.wikipedia.org/w/index.php?title=Dacoity&oldid=1338224359
Dallas crime family,Dallas_crime_family,https://en.wikipedia.org/w/index.php?title=Dallas_crime_family&oldid=1343611088
DarkMarket,DarkMarket,https://en.wikipedia.org/w/index.php?title=DarkMarket&oldid=1335499808
DeCavalcante crime family,DeCavalcante_crime_family,https://en.wikipedia.org/w/index.php?title=DeCavalcante_crime_family&oldid=1346612416
De Luca Bossa clan,De_Luca_Bossa_clan,https://en.wikipedia.org/w/index.php?title=De_Luca_Bossa_clan&oldid=1339077473
Dead Man Incorporated,Dead_Man_Incorporated,https://en.wikipedia.org/w/index.php?title=Dead_Man_Incorporated&oldid=1328952004
Death squad,Death_squad,https://en.wikipedia.org/w/index.php?title=Death_squad&oldid=1342468320
Detroit Partnership,Detroit_Partnership,https://en.wikipedia.org/w/index.php?title=Detroit_Partnership&oldid=1343807739
Devil's Disciples Motorcycle Club (Canada),Devil's_Disciples_Motorcycle_Club_(Canada),https://en.wikipedia.org/wiki/Devil's_Disciples_Motorcycle_Club_(Canada)
Devils Diciples Motorcycle Club,Devils_Diciples_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Devils_Diciples_Motorcycle_Club&oldid=1341248161
Di Lauro clan,Di_Lauro_clan,https://en.wikipedia.org/w/index.php?title=Di_Lauro_clan&oldid=1339077513
Diablos Motorcycle Club,Diablos_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Diablos_Motorcycle_Club&oldid=1328950367
Diablos Motorcycle Club (founded 1999),Diablos_Motorcycle_Club_(founded_1999),https://en.wikipedia.org/wiki/Diablos_Motorcycle_Club_(founded_1999)
Dinner Set Gang,Dinner_Set_Gang,https://en.wikipedia.org/w/index.php?title=Dinner_Set_Gang&oldid=1303407637
Dixie Mafia,Dixie_Mafia,https://en.wikipedia.org/w/index.php?title=Dixie_Mafia&oldid=1343745479
Dixon Bloods,Dixon_Bloods,https://en.wikipedia.org/w/index.php?title=Dixon_Bloods&oldid=1339077537
Doddington gang,Doddington_gang,https://en.wikipedia.org/w/index.php?title=Doddington_gang&oldid=1340347524
Dominicans Don't Play,Dominicans_Don't_Play,https://en.wikipedia.org/w/index.php?title=Dominicans_Don%27t_Play&oldid=1333388539
Dominick Napolitano,Dominick_Napolitano,https://en.wikipedia.org/w/index.php?title=Dominick_Napolitano&oldid=1339078409
Downtown Gang,Downtown_Gang,https://en.wikipedia.org/w/index.php?title=Downtown_Gang&oldid=1339077596
Dridex,Dridex,https://en.wikipedia.org/w/index.php?title=Dridex&oldid=1345627816
Drug Enforcement Administration,Drug_Enforcement_Administration,https://en.wikipedia.org/w/index.php?title=Drug_Enforcement_Administration&oldid=1346011094
Drug cartel,Drug_cartel,https://en.wikipedia.org/w/index.php?title=Drug_cartel&oldid=1343893373
Dubois brothers,Dubois_brothers,https://en.wikipedia.org/w/index.php?title=Dubois_brothers&oldid=1319483457
Dung Hà,Dung_Hà,https://en.wikipedia.org/w/index.php?title=Dung_Hà&oldid=1341319644
Dutch Schultz,Dutch_Schultz,https://en.wikipedia.org/w/index.php?title=Dutch_Schultz&oldid=1332735044
Dömötör-,Dömötör-Kolompár_criminal_organization,https://en.wikipedia.org/w/index.php?title=Dömötör-
East Harlem Purple Gang,East_Harlem_Purple_Gang,https://en.wikipedia.org/w/index.php?title=East_Harlem_Purple_Gang&oldid=1336602552
El Forastero Motorcycle Club,El_Forastero_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=El_Forastero_Motorcycle_Club&oldid=1296582130
El Monte Flores,El_Monte_Flores,https://en.wikipedia.org/w/index.php?title=El_Monte_Flores&oldid=1342297961
Elephant and Castle Mob,Elephant_and_Castle_Mob,https://en.wikipedia.org/w/index.php?title=Elephant_and_Castle_Mob&oldid=1339077627
Elm Street Piru,Elm_Street_Piru,https://en.wikipedia.org/w/index.php?title=Elm_Street_Piru&oldid=1344645963
European Kindred,European_Kindred,https://en.wikipedia.org/w/index.php?title=European_Kindred&oldid=1322451581
FARC dissidents,FARC_dissidents,https://en.wikipedia.org/w/index.php?title=FARC_dissidents&oldid=1346001045
Família do Norte,Família_do_Norte,https://en.wikipedia.org/w/index.php?title=Família_do_Norte&oldid=1307182475
Felony Lane Gang,Felony_Lane_Gang,https://en.wikipedia.org/w/index.php?title=Felony_Lane_Gang&oldid=1319342783
Finks Motorcycle Club,Finks_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Finks_Motorcycle_Club&oldid=1339691393
Five Families,Five_Families,https://en.wikipedia.org/w/index.php?title=Five_Families&oldid=1344695191
